-0.0991347015,0.1473057889,0.0272271363,8.1476917083,-0.3759215833,-2.40262925
-0.0991347015,0.1403244719,0.0293215314,8.0332807917,-0.4086104167,-2.40262925
-0.0984365698,0.1277581012,0.0376991118,7.8861810417,-0.4249548333,-2.4353180833
-0.10262536,0.1158898623,0.0453785606,7.8289755833,-0.3759215833,-2.4680069167
-0.1054178868,0.1082104136,0.0516617459,7.7145646667,-0.4086104167,-2.5579012083
-0.1089085453,0.0977384381,0.0565486678,7.6573592083,-0.4331270417,-2.6396232917
-0.1103048087,0.0858701992,0.0614355897,7.5919815417,-0.465815875,-2.7050009583
-0.1144935989,0.074700092,0.0600393263,7.5511205,-0.4739880833,-2.745862
-0.1110029404,0.0572467995,0.0621337214,7.5919815417,-0.514849125,-2.8847895417
-0.1172861257,0.046774824,0.0614355897,7.624670375,-0.4821602917,-2.9256505833
-0.1214749159,0.0335103216,0.053756141,7.60015375,-0.53936575,-2.9338227917
-0.1193805208,0.0118682389,0.0411897703,7.7145646667,-0.5230213333,-2.966511625
-0.1200786525,-0.0027925268,0.0335103216,7.7309090833,-0.4576436667,-2.9338227917
-0.1172861257,-0.0195476876,0.0258308729,7.8371477917,-0.4494714583,-2.8521007083
-0.1103048087,-0.0432841654,0.0153588974,8.0332807917,-0.4249548333,-2.7785508333
-0.1075122819,-0.0649262482,0.0062831853,8.1313472917,-0.4004382083,-2.7131731667
-0.0984365698,-0.081681409,0.0006981317,8.2539304167,-0.367749375,-2.6559677083
-0.0893608577,-0.0935496479,-0.0013962634,8.3519969167,-0.416782625,-2.623278875
-0.0781907505,-0.0991347015,-0.0034906585,8.2947914583,-0.3514049583,-2.5579012083
-0.0712094335,-0.1075122819,0.0013962634,8.213069375,-0.3840937917,-2.6069344583
-0.0656243799,-0.1214749159,0.0097738438,8.2457582083,-0.4086104167,-2.672312125
-0.0628318531,-0.130550628,0.0181514242,8.115002875,-0.44129925,-2.7785508333
-0.0586430629,-0.1319468915,0.0314159265,8.0251085833,-0.4903325,-2.8847895417
-0.0481710874,-0.1466076572,0.0474729557,8.0005919583,-0.4494714583,-2.9828560417
-0.0404916386,-0.1605702912,0.0642281165,7.9597309167,-0.4331270417,-3.08909475
